alfaud,Temperatura,MagnetizationAnti
-10,1.0,0.7331
-10,1.3,0.6743
-10,1.6,0.6742
-10,2.0,0.6878
-10,2.3,0.7835
-10,2.5,0.7475
-10,3.0,0.6550
-10,5.0,0.7318
-10,10.0,0.7478
-10,15.0,0.02143
-10,20.0,0.01482
-10,25.0,0.01266
-10,50.0,0.00975
-10,75.0,0.00907
-10,100.0,0.00877
-2,0.5,0.7611
-2,0.7,0.7597
-2,0.9,0.8237
-2,1.0,0.8373
-2,1.1,0.7796
-2,1.3,0.0483
-2,1.6,0.0231
-2,2.0,0.0164
-2,2.3,0.0144
-2,2.5,0.0135
-2,3.0,0.0121
-2,5.0,0.00996
-2,10.0,0.00887
-2,15.0,0.00857
-2,20.0,0.00836
-2,25.0,0.00831
-2,50.0,0.00813
-2,75.0,0.00806
-2,100.0,0.00804
-1.5,0.5,0.8373
-1.5,0.7,0.0343
-1.5,0.9,0.0188
-1.5,1.0,0.0164
-1.5,1.1,0.0149
-1.5,1.3,0.0131
-1.5,1.6,0.0116
-1.5,2.0,0.0106
-1.5,2.3,0.0102
-1.5,2.5,0.00996
-1.5,3.0,0.00962
-1.5,5.0,0.00887
-1.5,10.0,0.00836
-1.5,15.0,0.00823
-1.5,20.0,0.00817
-1.5,25.0,0.00813
-1.5,50.0,0.00805
-1.5,75.0,0.00801
-1.5,100.0,0.00801
-1,0.5,0.0079
-1,0.7,0.0079
-1,0.9,0.0079
-1,1.0,0.0079
-1,1.1,0.0079
-1,1.3,0.0079
-1,1.6,0.0079
-1,2.0,0.0079
-1,2.3,0.0079
-1,2.5,0.0079
-1,3.0,0.0079
-1,5.0,0.0079
-1,10.0,0.0079
-1,15.0,0.0079
-1,20.0,0.0079
-1,25.0,0.0079
-1,50.0,0.0079
-1,75.0,0.0079
-1,100.0,0.0079
0,0.5,0.0020
0,0.7,0.0022
0,0.9,0.0026
0,1.0,0.0030
0,1.1,0.0033
0,1.3,0.0040
0,1.6,0.0047
0,2.0,0.0052
0,2.3,0.0055
0,2.5,0.0056
0,3.0,0.0060
0,5.0,0.0066
0,10.0,0.0072
0,15.0,0.0075
0,20.0,0.0076
0,25.0,0.0076
0,50.0,0.0078
0,75.0,0.0079
0,100.0,0.0079
1,0.5,0.0026
1,0.7,0.0021
1,0.9,0.0021
1,1.0,0.0020
1,1.1,0.0020
1,1.3,0.0021
1,1.6,0.0023
1,2.0,0.0030
1,2.3,0.0035
1,2.5,0.0039
1,3.0,0.0045
1,5.0,0.0057
1,10.0,0.0066
1,15.0,0.0070
1,20.0,0.0072
1,25.0,0.0074
1,50.0,0.0076
1,75.0,0.0078
1,100.0,0.0078
1.5,0.5,0.0030
1.5,0.7,0.0023
1.5,0.9,0.0020
1.5,1.0,0.0022
1.5,1.1,0.0020
1.5,1.3,0.0020
1.5,1.6,0.0021
1.5,2.0,0.0023
1.5,2.3,0.0027
1.5,2.5,0.0030
1.5,3.0,0.0037
1.5,5.0,0.0052
1.5,10.0,0.0063
1.5,15.0,0.0069
1.5,20.0,0.0071
1.5,25.0,0.0072
1.5,50.0,0.0076
1.5,75.0,0.0077
1.5,100.0,0.0078
2,0.5,0.0030
2,0.7,0.0027
2,0.9,0.0023
2,1.0,0.0022
2,1.1,0.0021
2,1.3,0.0022
2,1.6,0.0020
2,2.0,0.0021
2,2.3,0.0023
2,2.5,0.0024
2,3.0,0.0030
2,5.0,0.0048
2,10.0,0.0061
2,15.0,0.0066
2,20.0,0.0069
2,25.0,0.0071
2,50.0,0.0075
2,75.0,0.0076
2,100.0,0.0077
10,0.5,0.0030
10,0.7,0.0030
10,0.9,0.0030
10,1.0,0.0028
10,1.1,0.0028
10,1.3,0.0029
10,1.6,0.0032
10,2.0,0.0032
10,2.3,0.0026
10,2.5,0.0026
10,3.0,0.0022
10,5.0,0.0022
10,10.0,0.0026
10,15.0,0.0042
10,20.0,0.0050
10,25.0,0.0055
10,50.0,0.0065
10,75.0,0.0070
10,100.0,0.0072